id,inegi,fecha_de_inicio_de_reporte_en_la_cbpcdmx,fuente_de_reporte,origen_de_la_noticia,sexo,edad,lugar_de_nacimiento,nacionalidad,escolaridad,estado_civil,parentesco_reportante,fecha_de_desaparicion,year_desaparicion,cve_ent_desp,entidad_de_desaparicion,cv_mun_desp,municipio_alcadia_de_la_desaparicion,colonia_de_la_desaparicion,circunstancias_de_la_desaparicion,estatus_de_localizacion,condicion_localizacion,fecha_de_localizacion,year_localizacion,estado_de_salud,constancia_de_localizacion,municipio_alcaldia_de_la_localizacion,tipo_de_lugar_de_la_localizacion,motivo_referido_de_desaparicion
1,09005,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,65,ciudad de mexico,mexicana,NA,NA,familiar,2021-12-27,2021,09,ciudad de méxico,005,gustavo a. madero,tres estrellas,iba rumbo a su trabajo,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
2,09007,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,87,guanajuato,mexicana,NA,NA,familiar,2021-12-30,2021,09,ciudad de méxico,007,iztapalapa,la regadera,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2022-01-04,2022,buen estado de salud,informe dado por familiar,benito juarez,en un lugar publico,extravio o desorientacion
3,09005,2021-12-31,noticia,portal CNB,hombre,71,NA,mexicana,NA,NA,familiar,2021-12-24,2021,09,ciudad de méxico,005,gustavo a. madero,pradera ii seccion,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
4,09003,2021-12-31,reporte,redes sociales y reportes telefónicos,hombre,NA,ciudad de mexico,mexicana,NA,NA,familiar,2018-06-16,2018,09,ciudad de méxico,003,coyoacán,ajusco,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
5,09005,2021-12-09,reporte,presencial,hombre,72,veracruz,mexicana,NA,NA,familiar,2019-12-16,2019,09,ciudad de méxico,005,gustavo a. madero,gabriel hernandez,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
6,09015,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,47,NA,mexicana,NA,NA,familiar,2021-12-06,2021,09,ciudad de méxico,015,cuauhtémoc,obrera,se desconoce,localizado,con vida,2021-12-09,2021,buen estado de salud,informe dado por familiar,cuauhtemoc,domicilio de la persona,ausencia deliberada
7,09015,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,72,NA,extranjera,NA,NA,otros,2021-12-08,2021,09,ciudad de méxico,015,cuauhtémoc,cuauhtemoc,se desconoce,localizado,con vida,2021-12-08,2021,buen estado de salud,informe dado por familiar,cuauhtemoc,en un lugar publico,ausencia deliberada
8,09016,2021-12-08,reporte,redes sociales y reportes telefónicos,hombre,33,NA,mexicana,NA,NA,familiar,2021-12-07,2021,09,ciudad de méxico,016,miguel hidalgo,ampliacion granada,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
9,09005,2021-12-08,noticia,colectivos de familiares,hombre,28,NA,mexicana,NA,NA,familiar,2016-07-15,2016,09,ciudad de méxico,005,gustavo a. madero,gertrudis sanchez 1a seccion,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
10,09006,2021-12-30,reporte,redes sociales y reportes telefónicos,hombre,52,NA,mexicana,NA,NA,familiar,2021-12-28,2021,09,ciudad de méxico,006,iztacalco,gabriel ramos millan,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-30,2021,buen estado de salud,informe dado por familiar,NA,NA,NA
11,09005,2021-12-30,noticia,comisiones de búsqueda,mujer,15,campeche,mexicana,NA,NA,familiar,2021-12-29,2021,09,ciudad de méxico,005,gustavo a. madero,tablas de san agustin,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
12,09002,2021-12-30,reporte,presencial,hombre,38,ciudad de mexico,mexicana,secundaria,union libre,familiar,2021-12-16,2021,09,ciudad de méxico,002,azcapotzalco,santa cruz de las salinas,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
13,09015,2021-12-30,reporte,redes sociales y reportes telefónicos,hombre,84,NA,mexicana,NA,NA,NA,2021-12-11,2021,09,ciudad de méxico,015,cuauhtémoc,buenavista,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
14,09003,2021-12-29,noticia,portal CNB,hombre,49,NA,mexicana,NA,NA,pareja o expareja,2019-05-24,2019,09,ciudad de méxico,003,coyoacán,cafetales,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
15,09005,2021-12-07,noticia,portal CNB,hombre,NA,NA,mexicana,NA,NA,familiar,2021-10-23,2021,09,ciudad de méxico,005,gustavo a. madero,tlalpexco,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
16,"NANA",2021-12-07,reporte,redes sociales y reportes telefónicos,hombre,20,ciudad de mexico,mexicana,licenciatura,soltero/a,familiar,2021-12-01,2021,NA,ciudad de méxico,NA,nezahualcoyotl,esperanza,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
17,09005,2021-12-06,noticia,portal CNB,hombre,16,NA,extranjera,NA,soltero/a,NA,2021-11-26,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
18,09005,2021-12-06,noticia,portal CNB,hombre,NA,NA,extranjera,NA,soltero/a,NA,2002-11-27,2002,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
19,09005,2021-12-06,noticia,portal CNB,hombre,16,NA,extranjera,NA,NA,NA,2021-11-26,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
20,09005,2021-12-06,noticia,portal CNB,hombre,17,NA,extranjera,NA,NA,NA,2021-11-26,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
21,09005,2021-12-06,noticia,portal CNB,hombre,17,NA,extranjera,NA,NA,NA,2021-11-26,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
22,09015,2021-12-06,reporte,redes sociales y reportes telefónicos,hombre,27,NA,mexicana,NA,NA,familiar,2021-12-05,2021,09,ciudad de méxico,015,cuauhtémoc,doctores,refirio problemas familiares antes de desaparecer,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
23,09013,2021-12-05,reporte,redes sociales y reportes telefónicos,mujer,19,NA,mexicana,NA,NA,NA,2021-12-05,2021,09,ciudad de méxico,013,xochimilco,NA,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
24,09005,2021-12-30,reporte,presencial,mujer,52,NA,mexicana,NA,NA,NA,2011-05-20,2011,09,ciudad de méxico,005,gustavo a. madero,NA,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
25,09007,2021-12-29,reporte,presencial,hombre,30,NA,mexicana,NA,NA,familiar,2021-12-26,2021,09,ciudad de méxico,007,iztapalapa,san lorenzo,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
26,09017,2021-12-29,noticia,portal CNB,hombre,68,ciudad de mexico,mexicana,licenciatura,NA,familiar,2021-12-28,2021,09,ciudad de méxico,017,venustiano carranza,peñon de los baños,se encontraba en el trayecto de una ciudad o comunidad a otra,localizado,con vida,2021-12-29,2021,NA,informe dado por familiar,NA,NA,NA
27,09017,2021-12-03,noticia,portal CNB,hombre,32,NA,mexicana,preparatoria,NA,familiar,2021-12-01,2021,09,ciudad de méxico,017,venustiano carranza,NA,iba rumbo a su trabajo,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
28,09005,2021-12-03,noticia,portal CNB,mujer,16,NA,mexicana,NA,NA,familiar,2021-12-02,2021,09,ciudad de méxico,005,gustavo a. madero,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
29,09012,2021-12-03,noticia,portal CNB,mujer,46,sonora,mexicana,secundaria,NA,familiar,2021-12-02,2021,09,ciudad de méxico,012,tlalpan,toriello guerra,se desconoce,localizado,con vida,2021-11-06,2021,NA,informe por institucion,NA,NA,NA
30,09007,2021-12-02,reporte,presencial,hombre,47,ciudad de mexico,mexicana,secundaria,soltero/a,NA,2020-11-30,2020,09,ciudad de méxico,007,iztapalapa,jose lopez portillo,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
31,09015,2021-12-28,reporte,redes sociales y reportes telefónicos,hombre,33,NA,mexicana,NA,NA,pareja o expareja,2021-12-25,2021,09,ciudad de méxico,015,cuauhtémoc,NA,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2022-01-07,2022,NA,informe dado por familiar,NA,NA,NA
32,09005,2021-12-03,noticia,portal CNB,hombre,16,NA,extranjera,primaria,NA,otros,2021-11-29,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
33,09012,2021-12-02,reporte,redes sociales y reportes telefónicos,hombre,33,NA,mexicana,NA,NA,pareja o expareja,2021-12-01,2021,09,ciudad de méxico,012,tlalpan,narciso mendoza,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
34,09007,2021-12-02,noticia,portal CNB,hombre,23,NA,mexicana,NA,soltero/a,otros,2021-11-30,2021,09,ciudad de méxico,007,iztapalapa,ampliacion ricardo flores magon,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
35,09013,2021-12-02,noticia,portal CNB,hombre,50,NA,mexicana,NA,NA,NA,2021-05-31,2021,09,ciudad de méxico,013,xochimilco,san juan tepepan,se encontraba en el trayecto de una ciudad o comunidad a otra,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
36,09015,2021-12-02,noticia,portal CNB,mujer,3,NA,mexicana,NA,NA,NA,2019-08-04,2019,09,ciudad de méxico,015,cuauhtémoc,buenavista,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
37,09007,2021-12-02,noticia,portal CNB,mujer,72,puebla,mexicana,primaria,NA,familiar,2015-05-29,2015,09,ciudad de méxico,007,iztapalapa,lomas de zaragoza,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
38,09015,2021-12-27,reporte,redes sociales y reportes telefónicos,hombre,31,NA,mexicana,NA,casado/a,NA,2021-12-26,2021,09,ciudad de méxico,015,cuauhtémoc,nonoalco tlatelolco,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-29,2021,buen estado de salud,informe dado por familiar,NA,domicilio de la persona,ausencia deliberada
39,09003,2021-12-01,noticia,portal CNB,hombre,60,NA,mexicana,preparatoria,NA,familiar,2021-05-10,2021,09,ciudad de méxico,003,coyoacán,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
40,09015,2021-12-01,reporte,redes sociales y reportes telefónicos,hombre,39,NA,mexicana,NA,NA,otros,2021-11-28,2021,09,ciudad de méxico,015,cuauhtémoc,juarez,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
41,09003,2021-11-30,reporte,redes sociales y reportes telefónicos,hombre,53,NA,mexicana,NA,NA,familiar,2021-11-27,2021,09,ciudad de méxico,003,coyoacán,espartaco,iba rumbo a su trabajo,localizado,con vida,2021-11-30,2021,buen estado de salud,informe dado por familiar,NA,en un lugar publico,NA
42,09002,2021-11-30,noticia,portal CNB,hombre,54,NA,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,002,azcapotzalco,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
43,09013,2021-11-29,noticia,autoridades en general,mujer,17,NA,mexicana,NA,NA,NA,2021-11-28,2021,09,ciudad de méxico,013,xochimilco,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
44,09007,2021-11-29,reporte,redes sociales y reportes telefónicos,mujer,13,NA,mexicana,NA,NA,familiar,2021-11-29,2021,09,ciudad de méxico,007,iztapalapa,NA,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-28,2021,buen estado de salud,localizacion atribuible a la comision,iztapalapa,domicilio de la persona,ausencia deliberada
45,09011,2021-11-29,noticia,portal CNB,mujer,19,ciudad de mexico,mexicana,preparatoria,NA,familiar,2021-11-22,2021,09,ciudad de méxico,011,tláhuac,NA,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-02,2021,buen estado de salud,localizacion atribuible a la comision,tlahuac,en un lugar publico,ausencia deliberada
46,09003,2021-11-28,noticia,autoridades en general,hombre,43,ciudad de mexico,mexicana,NA,union libre,familiar,2021-11-27,2021,09,ciudad de méxico,003,coyoacán,culhuacan ctm seccion ix-b,salio de casa a realizar alguna actividad y ya no regreso,localizado,sin vida,2021-11-28,2021,NA,localizacion atribuible a la comision,coyoacan,en un canal o cuerpo de agua,ausencia por accidente
47,09011,2021-11-26,reporte,redes sociales y reportes telefónicos,mujer,15,ciudad de mexico,mexicana,NA,soltero/a,NA,2021-11-02,2021,09,ciudad de méxico,011,tláhuac,selene,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
48,09015,2021-11-26,noticia,portal CNB,hombre,48,NA,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,015,cuauhtémoc,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
49,09005,2021-12-28,reporte,redes sociales y reportes telefónicos,hombre,48,NA,mexicana,NA,NA,familiar,2021-11-01,2021,09,ciudad de méxico,005,gustavo a. madero,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
50,09012,2021-12-27,noticia,portal CNB,hombre,96,NA,mexicana,NA,soltero/a,familiar,2021-12-25,2021,09,ciudad de méxico,012,tlalpan,miguel hidalgo 3a seccion,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-29,2021,buen estado de salud,informe dado por familiar,tlalpan,domicilio de la persona,problemas de comunicacion
51,09017,2021-12-27,noticia,portal CNB,hombre,58,ciudad de mexico,mexicana,primaria,soltero/a,familiar,2021-12-25,2021,09,ciudad de méxico,017,venustiano carranza,general ignacio zaragoza,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
52,09015,2021-11-26,noticia,portal CNB,hombre,35,NA,mexicana,NA,NA,familiar,2021-11-24,2021,09,ciudad de méxico,015,cuauhtémoc,roma norte,se desconoce,localizado,con vida,2021-11-29,2021,buen estado de salud,informe dado por familiar,NA,en un lugar publico,ausencia deliberada por actividades recreativas
53,09005,2021-11-26,reporte,redes sociales y reportes telefónicos,mujer,49,mexico,mexicana,NA,NA,familiar,2021-11-26,2021,09,ciudad de méxico,005,gustavo a. madero,NA,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
54,09015,2021-11-25,noticia,portal CNB,hombre,43,ciudad de mexico,mexicana,NA,NA,familiar,2021-11-24,2021,09,ciudad de méxico,015,cuauhtémoc,morelos,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-25,2021,buen estado de salud,informe dado por otra fuente,NA,NA,arresto o proceso legal
55,09007,2021-11-25,reporte,redes sociales y reportes telefónicos,hombre,58,puebla,mexicana,primaria,NA,familiar,2021-11-23,2021,09,ciudad de méxico,007,iztapalapa,central de abasto,se encontraba en su trabajo,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
56,09003,2021-12-25,reporte,redes sociales y reportes telefónicos,mujer,24,ciudad de mexico,mexicana,preparatoria,NA,NA,2021-12-24,2021,09,ciudad de méxico,003,coyoacán,ex-ejido de santa ursula coapa,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-12-25,2021,NA,contacto directo con la persona reportada,NA,con amistades,NA
57,09007,2021-11-24,reporte,redes sociales y reportes telefónicos,mujer,15,ciudad de mexico,mexicana,preparatoria,soltero/a,familiar,2021-11-23,2021,09,ciudad de méxico,007,iztapalapa,san lorenzo,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-22,2021,buen estado de salud,informe dado por familiar,NA,NA,ausencia deliberada
58,09007,2021-11-24,reporte,redes sociales y reportes telefónicos,hombre,48,NA,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,007,iztapalapa,puente blanco,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
59,09005,2021-12-24,noticia,portal CNB,hombre,23,NA,mexicana,NA,NA,familiar,2021-12-15,2021,09,ciudad de méxico,005,gustavo a. madero,lindavista norte,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
60,09010,2021-12-23,reporte,redes sociales y reportes telefónicos,mujer,31,NA,mexicana,NA,NA,familiar,2021-12-22,2021,09,ciudad de méxico,010,álvaro obregón,san angel,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
61,09015,2021-12-23,reporte,redes sociales y reportes telefónicos,hombre,19,NA,mexicana,NA,NA,otros,2021-12-21,2021,09,ciudad de méxico,015,cuauhtémoc,centro (area 1),se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
62,09005,2021-11-24,noticia,portal CNB,hombre,28,ciudad de mexico,mexicana,secundaria,NA,familiar,2021-11-18,2021,09,ciudad de méxico,005,gustavo a. madero,vallejo poniente,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
63,09011,2021-11-22,reporte,presencial,mujer,30,ciudad de mexico,mexicana,NA,NA,familiar,1991-06-19,1991,09,ciudad de méxico,011,tláhuac,san francisco tlaltenco,iba rumbo a su trabajo,localizado,con vida,2021-11-24,2021,buen estado de salud,informe dado por familiar,pedro escobedo,en casa de amigo o familiar,ausencia deliberada con relaciones sexoafectivas
64,09016,2021-11-23,reporte,redes sociales y reportes telefónicos,hombre,63,NA,mexicana,NA,NA,familiar,2021-11-23,2021,09,ciudad de méxico,016,miguel hidalgo,tacubaya,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
65,09017,2021-11-23,reporte,redes sociales y reportes telefónicos,hombre,55,ciudad de mexico,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,017,venustiano carranza,magdalena mixiuhca,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
66,09005,2021-11-23,noticia,portal CNB,mujer,1,NA,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,005,gustavo a. madero,san felipe de jesus,se trasladaba a su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
67,09005,2021-11-23,noticia,portal CNB,mujer,21,NA,mexicana,NA,NA,familiar,2021-11-22,2021,09,ciudad de méxico,005,gustavo a. madero,san felipe de jesus,se trasladaba a su domicilio,localizado,con vida,2021-11-26,2021,buen estado de salud,informe dado por familiar,NA,NA,ausencia deliberada
68,09016,2021-12-23,noticia,portal CNB,hombre,41,NA,mexicana,NA,NA,NA,2021-12-21,2021,09,ciudad de méxico,016,miguel hidalgo,lomas de chapultepec i seccion,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
69,09007,2021-11-22,noticia,portal CNB,mujer,31,ciudad de mexico,mexicana,NA,soltero/a,familiar,2021-11-16,2021,09,ciudad de méxico,007,iztapalapa,unidad vicente guerrero,se vio en su domicilio,localizado,con vida,2021-11-17,2021,mal estado por violencia,informe dado por familiar,NA,NA,NA
70,09016,2021-11-22,noticia,portal CNB,hombre,68,NA,mexicana,NA,NA,otros,2021-11-19,2021,09,ciudad de méxico,016,miguel hidalgo,veronica anzures,iba rumbo a su trabajo,localizado,con vida,2021-11-22,2021,mal estado por violencia,informe dado por familiar,NA,NA,NA
71,"NANA",2021-12-23,noticia,portal CNB,mujer,36,NA,extranjera,NA,NA,NA,2013-02-10,2013,NA,ciudad de méxico,NA,se desconoce,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
72,09015,2021-12-22,noticia,portal CNB,hombre,37,NA,extranjera,NA,NA,otros,2021-11-29,2021,09,ciudad de méxico,015,cuauhtémoc,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
73,09005,2021-11-22,noticia,portal CNB,mujer,66,ciudad de mexico,mexicana,otra,casado/a,familiar,2021-11-18,2021,09,ciudad de méxico,005,gustavo a. madero,santiago atepetlac,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-22,2021,buen estado de salud,informe dado por familiar,NA,NA,ausencia deliberada
74,09004,2021-11-21,noticia,portal CNB,mujer,12,morelos,mexicana,secundaria,NA,familiar,2021-11-17,2021,09,ciudad de méxico,004,cuajimalpa de morelos,san mateo tlaltenango,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-22,2021,buen estado de salud,informe por institucion,NA,domicilio de la persona,NA
75,09010,2021-11-20,reporte,redes sociales y reportes telefónicos,mujer,26,ciudad de mexico,mexicana,NA,NA,NA,2021-11-19,2021,09,ciudad de méxico,010,álvaro obregón,1a victoria,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-22,2021,buen estado de salud,informe dado por familiar,NA,NA,NA
76,"NANA",2021-11-20,noticia,portal CNB,hombre,49,ciudad de mexico,mexicana,licenciatura,soltero/a,pareja o expareja,2021-11-07,2021,NA,ciudad de méxico,NA,se desconoce,NA,se desconoce,localizado,con vida,2021-11-22,2021,mal estado sin violencia,contacto directo con la persona reportada,NA,NA,ausencia por enfermedad
77,09007,2021-11-20,noticia,portal CNB,hombre,39,ciudad de mexico,mexicana,secundaria,divorciado/a,familiar,2021-11-13,2021,09,ciudad de méxico,007,iztapalapa,lomas estrella,refirio problemas familiares antes de desaparecer,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
78,09016,2021-11-18,reporte,redes sociales y reportes telefónicos,hombre,62,NA,mexicana,NA,NA,familiar,2021-11-14,2021,09,ciudad de méxico,016,miguel hidalgo,tacubaya,se encontraba en el trayecto de una ciudad o comunidad a otra,localizado,con vida,2021-11-18,2021,mal estado sin violencia,informe dado por familiar,NA,domicilio de la persona,victima de delito
79,09014,2021-11-18,noticia,portal CNB,hombre,38,ciudad de mexico,mexicana,licenciatura,soltero/a,pareja o expareja,2021-11-16,2021,09,ciudad de méxico,014,benito juárez,NA,salio de casa a realizar alguna actividad y ya no regreso,localizado,con vida,2021-11-18,2021,buen estado de salud,informe por institucion,miguel hidalgo,otro,ausencia por enfermedad
80,09012,2021-11-19,noticia,portal CNB,hombre,24,ciudad de mexico,mexicana,secundaria,soltero/a,familiar,2021-11-18,2021,09,ciudad de méxico,012,tlalpan,santa ursula xitla,se trasladaba a su domicilio,localizado,con vida,2021-11-19,2021,NA,informe dado por familiar,NA,domicilio de la persona,ausencia deliberada
81,09013,2021-11-19,noticia,portal CNB,hombre,29,puebla,mexicana,preparatoria,soltero/a,NA,2021-11-16,2021,09,ciudad de méxico,013,xochimilco,santiago tulyehualco,refirio problemas familiares antes de desaparecer,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
82,09002,2021-11-19,noticia,portal CNB,mujer,65,michoacan,mexicana,secundaria,separaado/a,familiar,2021-11-17,2021,09,ciudad de méxico,002,azcapotzalco,la preciosa,refirio problemas familiares antes de desaparecer,localizado,con vida,2021-11-19,2021,buen estado de salud,informe dado por familiar,azcapotzalco,domicilio de la persona,NA
83,09010,2021-11-06,noticia,sociedad civil y organismos internacionales,mujer,38,oaxaca,mexicana,NA,soltero/a,NA,2021-10-01,2021,09,ciudad de méxico,010,álvaro obregón,NA,se desconoce,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
84,09005,2021-12-21,reporte,redes sociales y reportes telefónicos,mujer,13,NA,mexicana,NA,soltero/a,familiar,2021-12-08,2021,09,ciudad de méxico,005,gustavo a. madero,gabriel hernandez,se vio en su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
85,09015,2021-11-19,noticia,portal CNB,hombre,41,NA,extranjera,NA,casado/a,NA,2021-11-06,2021,09,ciudad de méxico,015,cuauhtémoc,tabacalera,ultimo contacto via telefonica o mensaje de texto,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
86,09005,2021-11-18,reporte,redes sociales y reportes telefónicos,hombre,70,NA,mexicana,NA,NA,familiar,2021-10-05,2021,09,ciudad de méxico,005,gustavo a. madero,martin carrera,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
87,09014,2021-11-18,reporte,redes sociales y reportes telefónicos,hombre,74,NA,mexicana,NA,NA,familiar,2021-11-17,2021,09,ciudad de méxico,014,benito juárez,portales norte,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
88,09015,2021-11-18,reporte,redes sociales y reportes telefónicos,mujer,32,NA,mexicana,NA,NA,NA,2021-11-10,2021,09,ciudad de méxico,015,cuauhtémoc,roma norte,se vio en su domicilio,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
89,09015,2021-11-18,noticia,autoridades en general,hombre,68,guanajuato,mexicana,NA,NA,familiar,2021-11-17,2021,09,ciudad de méxico,015,cuauhtémoc,morelos,se trasladaba a su domicilio,localizado,con vida,2021-11-18,2021,mal estado sin violencia,informe dado por familiar,NA,en un lugar publico,extravio o desorientacion
90,09005,2021-11-17,reporte,redes sociales y reportes telefónicos,hombre,39,ciudad de mexico,mexicana,NA,NA,familiar,2021-11-13,2021,09,ciudad de méxico,005,gustavo a. madero,lindavista norte,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
91,09015,2021-11-17,reporte,redes sociales y reportes telefónicos,hombre,25,ciudad de mexico,mexicana,NA,NA,familiar,2020-05-17,2020,09,ciudad de méxico,015,cuauhtémoc,morelos,salio de casa a realizar alguna actividad y ya no regreso,desaparecido,sigue desaparecida,NA,NA,NA,NA,NA,NA,NA
92,09016,2021-11-17,noticia,redes sociales y reportes telefónicos,hombre,13,ciudad de mexico,mexicana,NA,NA,familiar,2021-11-15,2021,09,ciudad de méxico,016,miguel hidalgo,bosque de chapultepec ii seccion,se le privo de la libertad por una corporacion policiaca o militar,localizado,con vida,2021-11-19,2021,NA,informe por institucion,NA,domicilio de la persona,ausencia deliberada
